일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.187","-0.002","10062.0","1"
"2024/11/21","3.189","-0.027","10061.0","6"
"2024/11/20","3.216","-0.007","10055.0","1"
"2024/11/19","3.223","-0.018","10054.0","4"
"2024/11/18","3.241","-0.015","10050.0","5"
"2024/11/15","3.256","0.013","10045.0","-1"
"2024/11/14","3.243","-0.011","10046.0","3"
"2024/11/13","3.254","0.021","10043.0","-3"
"2024/11/12","3.233","0.001","10046.0","1"
"2024/11/11","3.232","0.010","10045.0","1"
"2024/11/08","3.222","-0.028","10044.0","5"
"2024/11/07","3.250","-0.027","10039.0","6"
"2024/11/06","3.277","0.030","10033.0","-4"
"2024/11/05","3.247","-0.010","10037.0","2"
"2024/11/04","3.257","0.001","10035.0","3"
"2024/11/01","3.256","0.006","10032.0","0"
"2024/10/31","3.250","-0.003","10032.0","1"
"2024/10/30","3.253","0.011","10031.0","-1"
"2024/10/29","3.242","0.005","10032.0","0"
"2024/10/28","3.237","0.036","10032.0","-3"
"2024/10/25","3.201","-0.004","10035.0","1"
"2024/10/24","3.205","-0.040","10034.0","8"
"2024/10/23","3.245","0.007","10026.0","0"
"2024/10/22","3.238","0.019","10026.0","-3"
"2024/10/21","3.219","-0.014","10029.0","5"
"2024/10/18","3.233","0.015","10024.0","-1"
"2024/10/17","3.218","0.014","10025.0","-2"
"2024/10/16","3.204","-0.017","10027.0","4"
"2024/10/15","3.221","-0.013","10023.0","3"
"2024/10/14","3.234","-0.011","10020.0","4"
"2024/10/11","3.245","-0.021","10016.0","5"
"2024/10/10","3.266","0.017","10011.0","-1"
"2024/10/08","3.249","-0.031","10012.0","-77"
"2024/10/07","3.280","0.115","10089.0","-17"
"2024/10/04","3.165","0.030","10106.0","-4"
"2024/10/02","3.135","-0.018","10110.0","5"
"2024/09/30","3.153","-0.020","10105.0","6"
"2024/09/27","3.173","0.011","10099.0","-1"
"2024/09/26","3.162","-0.010","10100.0","3"
"2024/09/25","3.172","-0.035","10097.0","7"
"2024/09/24","3.207","-0.007","10090.0","2"
"2024/09/23","3.214","0.016","10088.0","0"
"2024/09/20","3.198","-0.004","10088.0","1"
"2024/09/19","3.202","0.006","10087.0","4"
"2024/09/13","3.196","-0.043","10083.0","9"
"2024/09/12","3.239","0.036","10074.0","-6"
"2024/09/11","3.203","-0.037","10080.0","8"
"2024/09/10","3.240","-0.007","10072.0","2"
"2024/09/09","3.247","0.017","10070.0","0"
"2024/09/06","3.230","-0.024","10070.0","5"
"2024/09/05","3.254","-0.014","10065.0","3"
"2024/09/04","3.268","-0.036","10062.0","7"
"2024/09/03","3.304","-0.009","10055.0","3"
"2024/09/02","3.313","0.032","10052.0","-3"
"2024/08/30","3.281","0.014","10055.0","-2"
"2024/08/29","3.267","0.020","10057.0","-2"
"2024/08/28","3.247","-0.011","10059.0","2"
"2024/08/27","3.258","0.041","10057.0","-6"
"2024/08/26","3.217","-0.021","10063.0","6"
"2024/08/23","3.238","0.016","10057.0","-2"
"2024/08/22","3.222","-0.030","10059.0","7"
"2024/08/21","3.252","0.001","10052.0","0"
"2024/08/20","3.251","0.014","10052.0","-1"
"2024/08/19","3.237","0.006","10053.0","1"
"2024/08/16","3.231","0.034","10052.0","-4"
"2024/08/14","3.197","-0.016","10056.0","4"
"2024/08/13","3.213","-0.023","10052.0","5"
"2024/08/12","3.236","0.009","10047.0","1"
"2024/08/09","3.227","0.017","10046.0","-3"
"2024/08/08","3.210","-0.016","10049.0","4"
"2024/08/07","3.226","-0.006","10045.0","2"
"2024/08/06","3.232","0.105","10043.0","-18"
"2024/08/05","3.127","-0.104","10061.0","21"
"2024/08/02","3.231","-0.031","10040.0","7"
"2024/08/01","3.262","-0.021","10033.0","5"
"2024/07/31","3.283","-0.001","10028.0","1"
"2024/07/30","3.284","0.021","10027.0","-3"
"2024/07/29","3.263","-0.033","10030.0","9"
"2024/07/26","3.296","0.007","10021.0","0"
"2024/07/25","3.289","-0.026","10021.0","5"
"2024/07/24","3.315","-0.038","10016.0","8"
"2024/07/23","3.353","0.014","10008.0","-1"
"2024/07/22","3.339","-0.003","10009.0","3"
"2024/07/19","3.342","0.014","10006.0","-2"
"2024/07/18","3.328","0.005","10008.0","0"
"2024/07/17","3.323","0.026","10008.0","-4"
"2024/07/16","3.297","-0.029","10012.0","6"
"2024/07/15","3.326","-0.013","10006.0","6"
"2024/07/12","3.339","-0.042","10000.0","8"
"2024/07/11","3.381","0.041","9992.0","-6"
"2024/07/10","3.340","0.013","9998.0","-2"
"2024/07/09","3.327",,"10000.0",
