일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.377","0.003","10099.0","1"
"2024/11/21","3.374","-0.001","10098.0","1"
"2024/11/20","3.375","0.002","10097.0","1"
"2024/11/19","3.373","0.001","10096.0","0"
"2024/11/18","3.372","0.000","10096.0","3"
"2024/11/15","3.372","0.004","10093.0","1"
"2024/11/14","3.368","0.003","10092.0","1"
"2024/11/13","3.365","0.014","10091.0","0"
"2024/11/12","3.351","0.007","10091.0","0"
"2024/11/11","3.344","0.004","10091.0","3"
"2024/11/08","3.340","0.010","10088.0","0"
"2024/11/07","3.330","-0.003","10088.0","1"
"2024/11/06","3.333","0.006","10087.0","1"
"2024/11/05","3.327","0.003","10086.0","1"
"2024/11/04","3.324","0.005","10085.0","2"
"2024/11/01","3.319","0.003","10083.0","1"
"2024/10/31","3.316","0.002","10082.0","1"
"2024/10/30","3.314","0.002","10081.0","1"
"2024/10/29","3.312","0.000","10080.0","0"
"2024/10/28","3.312","0.003","10080.0","3"
"2024/10/25","3.309","-0.003","10077.0","1"
"2024/10/24","3.312","-0.003","10076.0","1"
"2024/10/23","3.315","0.011","10075.0","0"
"2024/10/22","3.304","0.005","10075.0","1"
"2024/10/21","3.299","-0.018","10074.0","4"
"2024/10/18","3.317","0.003","10070.0","1"
"2024/10/17","3.314","0.004","10069.0","0"
"2024/10/16","3.310","0.000","10069.0","1"
"2024/10/15","3.310","-0.005","10068.0","1"
"2024/10/14","3.315","-0.002","10067.0","3"
"2024/10/11","3.317","-0.017","10064.0","2"
"2024/10/10","3.334","0.006","10062.0","2"
"2024/10/08","3.328","-0.002","10060.0","1"
"2024/10/07","3.330","0.038","10059.0","0"
"2024/10/04","3.292","0.003","10059.0","2"
"2024/10/02","3.289","-0.003","10057.0","2"
"2024/09/30","3.292","0.000","10055.0","2"
"2024/09/27","3.292","0.002","10053.0","1"
"2024/09/26","3.290","0.000","10052.0","1"
"2024/09/25","3.290","-0.007","10051.0","1"
"2024/09/24","3.297","-0.002","10050.0","1"
"2024/09/23","3.299","0.004","10049.0","3"
"2024/09/20","3.295","0.004","10046.0","0"
"2024/09/19","3.291","0.006","10046.0","5"
"2024/09/13","3.285","-0.014","10041.0","2"
"2024/09/12","3.299","0.018","10039.0","0"
"2024/09/11","3.281","-0.013","10039.0","2"
"2024/09/10","3.294","-0.005","10037.0","1"
"2024/09/09","3.299","-0.005","10036.0","-92"
"2024/09/06","3.304","-0.011","10128.0","2"
"2024/09/05","3.315","-0.012","10126.0","2"
"2024/09/04","3.327","-0.018","10124.0","2"
"2024/09/03","3.345","-0.002","10122.0","1"
"2024/09/02","3.347","0.005","10121.0","3"
"2024/08/30","3.342","0.002","10118.0","1"
"2024/08/29","3.340","0.010","10117.0","0"
"2024/08/28","3.330","-0.005","10117.0","1"
"2024/08/27","3.335","0.015","10116.0","0"
"2024/08/26","3.320","-0.001","10116.0","3"
"2024/08/23","3.321","0.013","10113.0","-1"
"2024/08/22","3.308","0.002","10114.0","1"
