일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.373","0.003","10114.0","0"
"2024/11/21","3.370","-0.002","10114.0","1"
"2024/11/20","3.372","0.002","10113.0","1"
"2024/11/19","3.370","0.002","10112.0","1"
"2024/11/18","3.368","0.000","10111.0","3"
"2024/11/15","3.368","0.004","10108.0","1"
"2024/11/14","3.364","0.003","10107.0","0"
"2024/11/13","3.361","0.014","10107.0","1"
"2024/11/12","3.347","0.004","10106.0","0"
"2024/11/11","3.343","0.005","10106.0","3"
"2024/11/08","3.338","0.010","10103.0","0"
"2024/11/07","3.328","-0.003","10103.0","1"
"2024/11/06","3.331","0.006","10102.0","1"
"2024/11/05","3.325","0.003","10101.0","0"
"2024/11/04","3.322","0.005","10101.0","3"
"2024/11/01","3.317","0.004","10098.0","1"
"2024/10/31","3.313","0.002","10097.0","0"
"2024/10/30","3.311","0.001","10097.0","1"
"2024/10/29","3.310","0.000","10096.0","1"
"2024/10/28","3.310","0.003","10095.0","3"
"2024/10/25","3.307","-0.003","10092.0","1"
"2024/10/24","3.310","-0.003","10091.0","1"
"2024/10/23","3.313","0.012","10090.0","0"
"2024/10/22","3.301","0.006","10090.0","1"
"2024/10/21","3.295","-0.018","10089.0","4"
"2024/10/18","3.313","0.003","10085.0","0"
"2024/10/17","3.310","0.001","10085.0","1"
"2024/10/16","3.309","-0.001","10084.0","1"
"2024/10/15","3.310","-0.005","10083.0","1"
"2024/10/14","3.315","-0.001","10082.0","3"
"2024/10/11","3.316","-0.017","10079.0","2"
"2024/10/10","3.333","0.007","10077.0","2"
"2024/10/08","3.326","-0.002","10075.0","1"
"2024/10/07","3.328","0.038","10074.0","0"
"2024/10/04","3.290","0.004","10074.0","1"
"2024/10/02","3.286","-0.003","10073.0","2"
"2024/09/30","3.289","0.000","10071.0","3"
"2024/09/27","3.289","0.002","10068.0","1"
"2024/09/26","3.287","0.000","10067.0","1"
"2024/09/25","3.287","-0.008","10066.0","1"
"2024/09/24","3.295","-0.002","10065.0","1"
"2024/09/23","3.297","0.005","10064.0","3"
"2024/09/20","3.292","0.004","10061.0","0"
"2024/09/19","3.288","0.006","10061.0","5"
"2024/09/13","3.282","-0.014","10056.0","2"
"2024/09/12","3.296","0.018","10054.0","0"
"2024/09/11","3.278","-0.012","10054.0","1"
"2024/09/10","3.290","-0.006","10053.0","2"
"2024/09/09","3.296","-0.005","10051.0","-97"
"2024/09/06","3.301","-0.013","10148.0","2"
"2024/09/05","3.314","-0.012","10146.0","2"
"2024/09/04","3.326","-0.017","10144.0","2"
"2024/09/03","3.343","-0.002","10142.0","1"
"2024/09/02","3.345","0.005","10141.0","2"
"2024/08/30","3.340","0.001","10139.0","1"
"2024/08/29","3.339","0.009","10138.0","0"
"2024/08/28","3.330","-0.003","10138.0","2"
"2024/08/27","3.333","0.015","10136.0","-1"
"2024/08/26","3.318","-0.002","10137.0","3"
"2024/08/23","3.320","0.014","10134.0","0"
"2024/08/22","3.306","0.003","10134.0","1"
"2024/08/21","3.303","0.002","10133.0","0"
"2024/08/20","3.301","0.013","10133.0","0"
"2024/08/19","3.288","0.007","10133.0","2"
"2024/08/16","3.281","0.016","10131.0","1"
"2024/08/14","3.265","-0.004","10130.0","1"
"2024/08/13","3.269","-0.009","10129.0","2"
"2024/08/12","3.278","0.004","10127.0","2"
"2024/08/09","3.274","0.006","10125.0","1"
"2024/08/08","3.268","-0.011","10124.0","1"
"2024/08/07","3.279","0.001","10123.0","1"
"2024/08/06","3.278","0.028","10122.0","-1"
"2024/08/05","3.250","-0.065","10123.0","8"
"2024/08/02","3.315","-0.017","10115.0","2"
