일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.189","-0.001","10210.0","1"
"2024/11/21","3.190","-0.025","10209.0","5"
"2024/11/20","3.215","-0.005","10204.0","2"
"2024/11/19","3.220","-0.017","10202.0","3"
"2024/11/18","3.237","-0.013","10199.0","5"
"2024/11/15","3.250","0.013","10194.0","-1"
"2024/11/14","3.237","-0.011","10195.0","3"
"2024/11/13","3.248","0.018","10192.0","-2"
"2024/11/12","3.230","0.001","10194.0","0"
"2024/11/11","3.229","0.010","10194.0","2"
"2024/11/08","3.219","-0.029","10192.0","5"
"2024/11/07","3.248","-0.026","10187.0","5"
"2024/11/06","3.274","0.029","10182.0","-4"
"2024/11/05","3.245","-0.010","10186.0","3"
"2024/11/04","3.255","0.002","10183.0","2"
"2024/11/01","3.253","0.007","10181.0","0"
"2024/10/31","3.246","-0.002","10181.0","1"
"2024/10/30","3.248","0.012","10180.0","-1"
"2024/10/29","3.236","0.004","10181.0","0"
"2024/10/28","3.232","0.031","10181.0","-2"
"2024/10/25","3.201","-0.004","10183.0","2"
"2024/10/24","3.205","-0.041","10181.0","7"
"2024/10/23","3.246","0.008","10174.0","0"
"2024/10/22","3.238","0.020","10174.0","-2"
"2024/10/21","3.218","-0.014","10176.0","4"
"2024/10/18","3.232","0.015","10172.0","-1"
"2024/10/17","3.217","0.012","10173.0","-1"
"2024/10/16","3.205","-0.015","10174.0","3"
"2024/10/15","3.220","-0.013","10171.0","3"
"2024/10/14","3.233","-0.012","10168.0","5"
"2024/10/11","3.245","-0.021","10163.0","4"
"2024/10/10","3.266","0.017","10159.0","-1"
"2024/10/08","3.249","-0.029","10160.0","6"
"2024/10/07","3.278","0.114","10154.0","-16"
"2024/10/04","3.164","0.029","10170.0","-3"
"2024/10/02","3.135","-0.019","10173.0","5"
"2024/09/30","3.154","-0.019","10168.0","5"
"2024/09/27","3.173","0.012","10163.0","-1"
"2024/09/26","3.161","-0.010","10164.0","3"
"2024/09/25","3.171","-0.035","10161.0","7"
"2024/09/24","3.206","-0.007","10154.0","2"
"2024/09/23","3.213","0.014","10152.0","0"
"2024/09/20","3.199","-0.004","10152.0","2"
"2024/09/19","3.203","0.007","10150.0","4"
"2024/09/13","3.196","-0.043","10146.0","8"
"2024/09/12","3.239","0.035","10138.0","-5"
"2024/09/11","3.204","-0.036","10143.0","7"
"2024/09/10","3.240","-0.009","10136.0","2"
"2024/09/09","3.249","0.017","10134.0","-101"
"2024/09/06","3.232","-0.024","10235.0","5"
"2024/09/05","3.256","-0.014","10230.0","3"
"2024/09/04","3.270","-0.035","10227.0","7"
"2024/09/03","3.305","-0.010","10220.0","3"
"2024/09/02","3.315","0.030","10217.0","-3"
"2024/08/30","3.285","0.014","10220.0","-1"
"2024/08/29","3.271","0.020","10221.0","-3"
"2024/08/28","3.251","-0.011","10224.0","3"
"2024/08/27","3.262","0.042","10221.0","-6"
"2024/08/26","3.220","-0.021","10227.0","6"
"2024/08/23","3.241","0.019","10221.0","-2"
"2024/08/22","3.222","-0.033","10223.0","7"
"2024/08/21","3.255","0.000","10216.0","0"
"2024/08/20","3.255","0.013","10216.0","-1"
"2024/08/19","3.242","0.006","10217.0","2"
"2024/08/16","3.236","0.034","10215.0","-5"
"2024/08/14","3.202","-0.016","10220.0","4"
"2024/08/13","3.218","-0.022","10216.0","5"
"2024/08/12","3.240","0.006","10211.0","1"
"2024/08/09","3.234","0.013","10210.0","-1"
"2024/08/08","3.221","-0.016","10211.0","4"
"2024/08/07","3.237","-0.003","10207.0","1"
"2024/08/06","3.240","0.101","10206.0","-17"
"2024/08/05","3.139","-0.101","10223.0","21"
"2024/08/02","3.240","-0.034","10202.0","7"
"2024/08/01","3.274","-0.019","10195.0","4"
"2024/07/31","3.293","0.000","10191.0","1"
"2024/07/30","3.293","0.020","10190.0","-3"
"2024/07/29","3.273","-0.034","10193.0","9"
"2024/07/26","3.307","0.004","10184.0","1"
"2024/07/25","3.303","-0.027","10183.0","5"
"2024/07/24","3.330","-0.042","10178.0","9"
"2024/07/23","3.372","0.013","10169.0","-1"
"2024/07/22","3.359","-0.005","10170.0","3"
"2024/07/19","3.364","0.011","10167.0","-1"
"2024/07/18","3.353","0.003","10168.0","0"
"2024/07/17","3.350","0.019","10168.0","-2"
"2024/07/16","3.331","-0.034","10170.0","7"
"2024/07/15","3.365","-0.021","10163.0","7"
"2024/07/12","3.386","-0.047","10156.0","9"
"2024/07/11","3.433","0.037","10147.0","-5"
"2024/07/10","3.396","0.006","10152.0","-1"
"2024/07/09","3.390","-0.003","10153.0","2"
"2024/07/08","3.393","-0.012","10151.0","5"
"2024/07/05","3.405","-0.010","10146.0","3"
