일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.185","-0.004","10047.0","2"
"2024/11/21","3.189","-0.029","10045.0","5"
"2024/11/20","3.218","-0.007","10040.0","3"
"2024/11/19","3.225","-0.019","10037.0","3"
"2024/11/18","3.244","-0.015","10034.0","6"
"2024/11/15","3.259","0.013","10028.0","-2"
"2024/11/14","3.246","-0.011","10030.0","3"
"2024/11/13","3.257","0.022","10027.0","-3"
"2024/11/12","3.235","0.001","10030.0","1"
"2024/11/11","3.234","0.011","10029.0","1"
"2024/11/08","3.223","-0.029","10028.0","5"
"2024/11/07","3.252","-0.027","10023.0","6"
"2024/11/06","3.279","0.031","10017.0","-4"
"2024/11/05","3.248","-0.011","10021.0","2"
"2024/11/04","3.259","0.001","10019.0","3"
"2024/11/01","3.258","0.005","10016.0","0"
"2024/10/31","3.253","-0.002","10016.0","1"
"2024/10/30","3.255","0.009","10015.0","-1"
"2024/10/29","3.246","0.006","10016.0","0"
"2024/10/28","3.240","0.037","10016.0","-3"
"2024/10/25","3.203","-0.003","10019.0","1"
"2024/10/24","3.206","-0.040","10018.0","-75"
"2024/10/23","3.246","0.007","10093.0","-1"
"2024/10/22","3.239","0.020","10094.0","-2"
"2024/10/21","3.219","-0.014","10096.0","5"
"2024/10/18","3.233","0.015","10091.0","-2"
"2024/10/17","3.218","0.014","10093.0","-1"
"2024/10/16","3.204","-0.017","10094.0","4"
"2024/10/15","3.221","-0.013","10090.0","3"
"2024/10/14","3.234","-0.011","10087.0","4"
"2024/10/11","3.245","-0.022","10083.0","5"
"2024/10/10","3.267","0.017","10078.0","-1"
"2024/10/08","3.250","-0.030","10079.0","6"
"2024/10/07","3.280","0.114","10073.0","-17"
"2024/10/04","3.166","0.031","10090.0","-4"
"2024/10/02","3.135","-0.018","10094.0","5"
"2024/09/30","3.153","-0.021","10089.0","6"
"2024/09/27","3.174","0.011","10083.0","-1"
"2024/09/26","3.163","-0.009","10084.0","3"
"2024/09/25","3.172","-0.035","10081.0","7"
"2024/09/24","3.207","-0.008","10074.0","2"
"2024/09/23","3.215","0.016","10072.0","0"
"2024/09/20","3.199","-0.003","10072.0","1"
"2024/09/19","3.202","0.007","10071.0","4"
"2024/09/13","3.195","-0.045","10067.0","9"
"2024/09/12","3.240","0.037","10058.0","-6"
"2024/09/11","3.203","-0.036","10064.0","8"
"2024/09/10","3.239","-0.007","10056.0","2"
"2024/09/09","3.246","0.017","10054.0","-1"
"2024/09/06","3.229","-0.024","10055.0","6"
"2024/09/05","3.253","-0.015","10049.0","3"
"2024/09/04","3.268","-0.036","10046.0","8"
"2024/09/03","3.304","-0.008","10038.0","2"
"2024/09/02","3.312","0.032","10036.0","-3"
"2024/08/30","3.280","0.015","10039.0","-2"
"2024/08/29","3.265","0.020","10041.0","-3"
"2024/08/28","3.245","-0.011","10044.0","3"
"2024/08/27","3.256","0.041","10041.0","-7"
"2024/08/26","3.215","-0.023","10048.0","7"
"2024/08/23","3.238","0.016","10041.0","-2"
"2024/08/22","3.222","-0.030","10043.0","7"
"2024/08/21","3.252","0.001","10036.0","0"
"2024/08/20","3.251","0.015","10036.0","-2"
"2024/08/19","3.236","0.006","10038.0","2"
"2024/08/16","3.230","0.034","10036.0","-5"
"2024/08/14","3.196","-0.016","10041.0","4"
"2024/08/13","3.212","-0.023","10037.0","5"
"2024/08/12","3.235","0.009","10032.0","1"
"2024/08/09","3.226","0.019","10031.0","-2"
"2024/08/08","3.207","-0.016","10033.0","3"
"2024/08/07","3.223","-0.006","10030.0","2"
"2024/08/06","3.229","0.109","10028.0","-19"
"2024/08/05","3.120","-0.104","10047.0","22"
"2024/08/02","3.224","-0.031","10025.0","7"
"2024/08/01","3.255","-0.022","10018.0","5"
"2024/07/31","3.277","0.001","10013.0","1"
"2024/07/30","3.276","0.021","10012.0","-3"
"2024/07/29","3.255","-0.032","10015.0","8"
"2024/07/26","3.287","0.006","10007.0","0"
"2024/07/25","3.281",,"10007.0",
