일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.355","0.001","10041.0","0"
"2024/11/21","3.354","0.001","10041.0","1"
"2024/11/20","3.353","0.001","10040.0","1"
"2024/11/19","3.352","0.001","10039.0","1"
"2024/11/18","3.351","-0.002","10038.0","3"
"2024/11/15","3.353","0.004","10035.0","0"
"2024/11/14","3.349","0.003","10035.0","1"
"2024/11/13","3.346","0.017","10034.0","0"
"2024/11/12","3.329","0.006","10034.0","0"
"2024/11/11","3.323","0.006","10034.0","3"
"2024/11/08","3.317","0.011","10031.0","0"
"2024/11/07","3.306","-0.003","10031.0","1"
"2024/11/06","3.309","0.008","10030.0","0"
"2024/11/05","3.301","0.005","10030.0","1"
"2024/11/04","3.296","0.005","10029.0","2"
"2024/11/01","3.291","0.001","10027.0","1"
"2024/10/31","3.290","0.002","10026.0","1"
"2024/10/30","3.288","0.004","10025.0","0"
"2024/10/29","3.284","0.001","10025.0","1"
"2024/10/28","3.283","0.005","10024.0","3"
"2024/10/25","3.278","-0.005","10021.0","1"
"2024/10/24","3.283","-0.003","10020.0","1"
"2024/10/23","3.286","0.006","10019.0","0"
"2024/10/22","3.280","0.007","10019.0","1"
"2024/10/21","3.273","-0.017","10018.0","4"
"2024/10/18","3.290","0.007","10014.0","0"
"2024/10/17","3.283","0.002","10014.0","1"
"2024/10/16","3.281","0.000","10013.0","1"
"2024/10/15","3.281","-0.005","10012.0","1"
"2024/10/14","3.286","-0.001","10011.0","3"
"2024/10/11","3.287","-0.017","10008.0","2"
"2024/10/10","3.304","0.008","10006.0","-84"
"2024/10/08","3.296","-0.001","10090.0","1"
"2024/10/07","3.297","0.042","10089.0","0"
"2024/10/04","3.255","0.001","10089.0","2"
"2024/10/02","3.254","-0.004","10087.0","2"
"2024/09/30","3.258","-0.001","10085.0","2"
"2024/09/27","3.259","0.001","10083.0","1"
"2024/09/26","3.258","-0.002","10082.0","1"
"2024/09/25","3.260","-0.008","10081.0","2"
"2024/09/24","3.268","-0.003","10079.0","1"
"2024/09/23","3.271","0.005","10078.0","2"
"2024/09/20","3.266","0.002","10076.0","1"
"2024/09/19","3.264","0.007","10075.0","5"
"2024/09/13","3.257","-0.016","10070.0","2"
"2024/09/12","3.273","0.018","10068.0","-1"
"2024/09/11","3.255","-0.015","10069.0","3"
"2024/09/10","3.270","-0.010","10066.0","1"
"2024/09/09","3.280","-0.006","10065.0","3"
"2024/09/06","3.286","-0.015","10062.0","3"
"2024/09/05","3.301","-0.012","10059.0","1"
"2024/09/04","3.313","-0.013","10058.0","2"
"2024/09/03","3.326","-0.004","10056.0","2"
"2024/09/02","3.330","0.005","10054.0","2"
"2024/08/30","3.325","0.001","10052.0","1"
"2024/08/29","3.324","0.009","10051.0","0"
"2024/08/28","3.315","-0.004","10051.0","1"
"2024/08/27","3.319","0.014","10050.0","0"
"2024/08/26","3.305","-0.002","10050.0","3"
"2024/08/23","3.307","0.017","10047.0","-1"
"2024/08/22","3.290","0.004","10048.0","1"
"2024/08/21","3.286","0.003","10047.0","0"
"2024/08/20","3.283","0.012","10047.0","0"
"2024/08/19","3.271","0.008","10047.0","2"
"2024/08/16","3.263","0.016","10045.0","1"
"2024/08/14","3.247","-0.005","10044.0","1"
"2024/08/13","3.252","-0.008","10043.0","1"
"2024/08/12","3.260","0.003","10042.0","3"
"2024/08/09","3.257","0.004","10039.0","0"
"2024/08/08","3.253","-0.019","10039.0","3"
"2024/08/07","3.272","0.003","10036.0","1"
"2024/08/06","3.269","0.035","10035.0","-3"
"2024/08/05","3.234","-0.065","10038.0","9"
"2024/08/02","3.299","-0.020","10029.0","3"
"2024/08/01","3.319","-0.018","10026.0","2"
"2024/07/31","3.337","-0.011","10024.0","2"
"2024/07/30","3.348","0.001","10022.0","1"
"2024/07/29","3.347","-0.018","10021.0","4"
"2024/07/26","3.365","-0.013","10017.0","2"
"2024/07/25","3.378","-0.021","10015.0","3"
"2024/07/24","3.399","-0.026","10012.0","4"
"2024/07/23","3.425","0.003","10008.0","0"
"2024/07/22","3.422","-0.003","10008.0","3"
"2024/07/19","3.425","0.006","10005.0","1"
"2024/07/18","3.419","0.022","10004.0","-1"
"2024/07/17","3.397","0.009","10005.0","0"
"2024/07/16","3.388","-0.011","10005.0","2"
"2024/07/15","3.399","-0.005","10003.0","3"
"2024/07/12","3.404","-0.010","10000.0","2"
"2024/07/11","3.414","0.028","9998.0","-2"
"2024/07/10","3.386",,"10000.0",
