일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
2024/11/22,3.338,-0.005,9343.0,4.0
2024/11/21,3.343,-0.034,9339.0,20.0
2024/11/20,3.377,-0.018,9319.0,11.0
2024/11/19,3.395,-0.029,9308.0,18.0
2024/11/18,3.424,-0.024,9290.0,16.0
2024/11/15,3.448,0.006,9274.0,-3.0
2024/11/14,3.442,0.004,9277.0,-1.0
2024/11/13,3.438,0.045,9278.0,-25.0
2024/11/12,3.393,-0.01,9303.0,7.0
2024/11/11,3.403,0.007,9296.0,-2.0
2024/11/08,3.396,-0.045,9298.0,26.0
2024/11/07,3.441,-0.037,9272.0,23.0
2024/11/06,3.478,0.05,9249.0,-28.0
2024/11/05,3.428,-0.02,9277.0,12.0
2024/11/04,3.448,-0.005,9265.0,6.0
2024/11/01,3.453,0.001,9259.0,0.0
2024/10/31,3.452,-0.011,9259.0,7.0
2024/10/30,3.463,-0.011,9252.0,7.0
2024/10/29,3.474,-0.007,9245.0,5.0
2024/10/28,3.481,0.064,9240.0,-34.0
2024/10/25,3.417,-0.007,9274.0,5.0
2024/10/24,3.424,-0.057,9269.0,33.0
2024/10/23,3.481,-0.003,9236.0,3.0
2024/10/22,3.484,0.057,9233.0,-32.0
2024/10/21,3.427,-0.021,9265.0,15.0
2024/10/18,3.448,0.034,9250.0,-19.0
2024/10/17,3.414,0.036,9269.0,-20.0
2024/10/16,3.378,-0.04,9289.0,24.0
2024/10/15,3.418,-0.034,9265.0,20.0
2024/10/14,3.452,0.002,9245.0,-53.0
2024/10/11,3.45,-0.014,9298.0,9.0
2024/10/10,3.464,0.005,9289.0,-1.0
2024/10/08,3.459,-0.023,9290.0,14.0
2024/10/07,3.482,0.108,9276.0,-59.0
2024/10/04,3.374,0.058,9335.0,-32.0
2024/10/02,3.316,-0.046,9367.0,28.0
2024/09/30,3.362,-0.005,9339.0,6.0
2024/09/27,3.367,0.008,9333.0,-4.0
2024/09/26,3.359,0.016,9337.0,-9.0
2024/09/25,3.343,-0.042,9346.0,25.0
2024/09/24,3.385,0.01,9321.0,-5.0
2024/09/23,3.375,0.033,9326.0,-16.0
2024/09/20,3.342,0.014,9342.0,-8.0
2024/09/19,3.328,0.033,9350.0,-14.0
2024/09/13,3.295,-0.057,9364.0,34.0
2024/09/12,3.352,0.04,9330.0,-22.0
2024/09/11,3.312,-0.058,9352.0,34.0
2024/09/10,3.37,-0.023,9318.0,15.0
2024/09/09,3.393,0.037,9303.0,-19.0
2024/09/06,3.356,-0.041,9322.0,24.0
2024/09/05,3.397,-0.015,9298.0,10.0
2024/09/04,3.412,-0.067,9288.0,40.0
2024/09/03,3.479,-0.003,9248.0,3.0
2024/09/02,3.482,0.038,9245.0,-20.0
2024/08/30,3.444,0.016,9265.0,-8.0
2024/08/29,3.428,0.022,9273.0,-12.0
2024/08/28,3.406,-0.016,9285.0,10.0
2024/08/27,3.422,0.076,9275.0,-44.0
2024/08/26,3.346,-0.028,9319.0,19.0
2024/08/23,3.374,0.017,9300.0,-9.0
2024/08/22,3.357,-0.02,9309.0,13.0
2024/08/21,3.377,-0.002,9296.0,1.0
2024/08/20,3.379,0.019,9295.0,-10.0
2024/08/19,3.36,0.016,9305.0,-7.0
2024/08/16,3.344,0.035,9312.0,-19.0
2024/08/14,3.309,-0.03,9331.0,19.0
2024/08/13,3.339,-0.03,9312.0,19.0
2024/08/12,3.369,-0.003,9293.0,4.0
2024/08/09,3.372,0.014,9289.0,-8.0
2024/08/08,3.358,-0.007,9297.0,5.0
2024/08/07,3.365,0.0,9292.0,1.0
2024/08/06,3.365,0.112,9291.0,-65.0
2024/08/05,3.253,-0.095,9356.0,59.0
2024/08/02,3.348,-0.042,9297.0,26.0
2024/08/01,3.39,-0.041,9271.0,25.0
2024/07/31,3.431,0.004,9246.0,-2.0
2024/07/30,3.427,0.019,9248.0,-10.0
2024/07/29,3.408,-0.057,9258.0,36.0
2024/07/26,3.465,-0.012,9222.0,8.0
2024/07/25,3.477,-0.017,9214.0,11.0
2024/07/24,3.494,-0.044,9203.0,26.0
2024/07/23,3.538,0.029,9177.0,-16.0
2024/07/22,3.509,-0.012,9193.0,10.0
2024/07/19,3.521,0.016,9183.0,-9.0
2024/07/18,3.505,0.001,9192.0,1.0
2024/07/17,3.504,0.006,9191.0,-3.0
2024/07/16,3.498,-0.042,9194.0,25.0
2024/07/15,3.54,-0.003,9169.0,-50.0
2024/07/12,3.543,-0.058,9219.0,35.0
2024/07/11,3.601,0.03,9184.0,-17.0
2024/07/10,3.571,-0.005,9201.0,4.0
2024/07/09,3.576,-0.007,9197.0,5.0
2024/07/08,3.583,-0.008,9192.0,8.0
2024/07/05,3.591,-0.016,9184.0,10.0
2024/07/04,3.607,-0.034,9174.0,21.0
2024/07/03,3.641,-0.004,9153.0,3.0
2024/07/02,3.645,-0.038,9150.0,23.0
2024/07/01,3.683,0.038,9127.0,-19.0
2024/06/28,3.645,-0.048,9146.0,29.0
2024/06/27,3.693,0.015,9117.0,-8.0
2024/06/26,3.678,0.006,9125.0,-3.0
2024/06/25,3.672,0.002,9128.0,0.0
2024/06/24,3.67,0.019,9128.0,-8.0
2024/06/21,3.651,-0.03,9136.0,18.0
2024/06/20,3.681,0.039,9118.0,-22.0
2024/06/19,3.642,-0.052,9140.0,32.0
2024/06/18,3.694,-0.001,9108.0,1.0
2024/06/17,3.695,-0.033,9107.0,22.0
2024/06/14,3.728,-0.048,9085.0,30.0
2024/06/13,3.776,-0.021,9055.0,13.0
2024/06/12,3.797,-0.051,9042.0,30.0
2024/06/11,3.848,-0.02,9012.0,13.0
2024/06/10,3.868,0.054,8999.0,-29.0
2024/06/07,3.814,-0.043,9028.0,27.0
2024/06/05,3.857,-0.045,9001.0,28.0
2024/06/04,3.902,-0.064,8973.0,38.0
2024/06/03,3.966,-0.044,8935.0,28.0
2024/05/31,4.01,0.01,8907.0,-5.0
2024/05/30,4.0,0.024,8912.0,-13.0
2024/05/29,3.976,0.05,8925.0,-28.0
2024/05/28,3.926,-0.027,8953.0,17.0
2024/05/27,3.953,-0.008,8936.0,8.0
2024/05/24,3.961,0.03,8928.0,-17.0
2024/05/23,3.931,-0.024,8945.0,15.0
2024/05/22,3.955,-0.006,8930.0,4.0
2024/05/21,3.961,-0.006,8926.0,5.0
2024/05/20,3.967,0.034,8921.0,-17.0
2024/05/17,3.933,-0.009,8938.0,6.0
2024/05/16,3.942,-0.081,8932.0,49.0
2024/05/14,4.023,-0.006,8883.0,5.0
2024/05/13,4.029,0.018,8878.0,-8.0
2024/05/10,4.011,-0.023,8886.0,14.0
2024/05/09,4.034,0.021,8872.0,-11.0
2024/05/08,4.013,-0.006,8883.0,5.0
2024/05/07,4.019,-0.079,8878.0,49.0
2024/05/03,4.098,-0.021,8829.0,14.0
2024/05/02,4.119,-0.017,8815.0,11.0
2024/04/30,4.136,-0.038,8804.0,23.0
2024/04/29,4.174,0.011,8781.0,-3.0
2024/04/26,4.163,-0.035,8784.0,21.0
2024/04/25,4.198,0.049,8763.0,-27.0
2024/04/24,4.149,0.021,8790.0,-11.0
2024/04/23,4.128,-0.019,8801.0,12.0
2024/04/22,4.147,0.044,8789.0,-23.0
2024/04/19,4.103,0.035,8812.0,-19.0
2024/04/18,4.068,-0.049,8831.0,29.0
2024/04/17,4.117,-0.009,8802.0,6.0
